"MDS1","MDS2","MDS3","Sample_ID","site_sp","species"
0.16437734355618006,0.017272423909066584,-0.006511293444136234,"DS_site020_Hylarana latouchii","DS_site020_Hylarana latouchii","Hylarana_latouchii"
-0.12583671357120174,-0.04795135177574323,-0.19239613973049538,"DS_site020_Microhyla fissipes","DS_site020_Microhyla fissipes","Microhyla_fissipes"
0.05748653947441617,-0.030566082839466276,0.008312005281249289,"DS_site033_Bufo gargarizans","DS_site033_Bufo gargarizans","Bufo_gargarizans"
0.0373029625787411,-0.033866538792274734,0.00961664610603958,"DS_site033_Fejervarya multistriata","DS_site033_Fejervarya multistriata","Fejervarya_multistriata"
0.09418148084732712,-0.01919068465754922,0.028939368264991,"DS_site033_Pelophylax nigromaculatus","DS_site033_Pelophylax nigromaculatus","Pelophylax_nigromaculatus"
0.08635773096271948,-0.118991370093666,0.034964245179842764,"DS_site033_Rana zhenhaiensis","DS_site033_Rana zhenhaiensis","Rana_zhenhaiensis"
0.06487808524802048,-0.05780070952164382,0.01526084186778274,"DS_site029_Lithobates catesbeianus","DS_site029_Lithobates catesbeianus","Lithobates_catesbeianus"
0.12688987583071396,-0.053453407413794306,-0.05367232474039147,"DS_site029_Fejervarya multistriata","DS_site029_Fejervarya multistriata","Fejervarya_multistriata"
0.08901785255879797,-0.02947870538471456,0.03701225027126585,"DS_site029_Rana zhenhaiensis","DS_site029_Rana zhenhaiensis","Rana_zhenhaiensis"
0.09473876429097253,-0.0627661253800554,0.010244251151613122,"DS_site029_Bufo gargarizans","DS_site029_Bufo gargarizans","Bufo_gargarizans"
0.07035456477947352,-0.06816228243809161,0.01208806328448224,"DS_site021_Bufo gargarizans","DS_site021_Bufo gargarizans","Bufo_gargarizans"
0.04882584307726578,-0.042039405783064324,0.03922126774295946,"DS_site021_Fejervarya multistriata","DS_site021_Fejervarya multistriata","Fejervarya_multistriata"
0.08009614812765656,-0.0896866996038182,-0.03371374094625322,"DS_site021_Lithobates catesbeianus","DS_site021_Lithobates catesbeianus","Lithobates_catesbeianus"
-0.02421746548933688,-0.08123173795909681,0.07990436811286511,"DS_site032_Fejervarya multistriata","DS_site032_Fejervarya multistriata","Fejervarya_multistriata"
